 #	x	F(x)
 0.5495495  0.9834033
 0.5505506  0.9833125
 0.5515516  0.9832213
 0.5525526  0.9831298
 0.5535536  0.9830379
 0.5545546  0.9829457
 0.5555556  0.9828532
 0.5565566  0.9827604
 0.5575576  0.9826672
 0.5585586  0.9825737
 0.5595596  0.9824798
 0.5605606  0.9823856
 0.5615616  0.9822911
 0.5625626  0.9821962
 0.5635636  0.9821010
 0.5645646  0.9820055
 0.5655656  0.9819096
 0.5665666  0.9818133
 0.5675676  0.9817168
 0.5685686  0.9816199
 0.5695696  0.9815226
 0.5705706  0.9814250
 0.5715716  0.9813271
 0.5725726  0.9812288
 0.5735736  0.9811302
 0.5745746  0.9810312
 0.5755756  0.9809319
 0.5765766  0.9808323
 0.5775776  0.9807323
 0.5785786  0.9806319
 0.5795796  0.9805312
 0.5805806  0.9804301
 0.5815816  0.9803288
 0.5825826  0.9802270
 0.5835836  0.9801249
 0.5845846  0.9800225
 0.5855856  0.9799197
 0.5865866  0.9798165
 0.5875876  0.9797130
 0.5885886  0.9796091
 0.5895896  0.9795049
 0.5905906  0.9794004
 0.5915916  0.9792954
 0.5925926  0.9791902
 0.5935936  0.9790845
 0.5945946  0.9789785
 0.5955956  0.9788722
 0.5965966  0.9787655
 0.5975976  0.9786584
 0.5985986  0.9785510
 0.5995996  0.9784432
 0.6006006  0.9783351
 0.6016016  0.9782266
 0.6026026  0.9781177
 0.6036036  0.9780085
 0.6046046  0.9778989
 0.6056056  0.9777889
 0.6066066  0.9776786
 0.6076076  0.9775679
 0.6086086  0.9774569
 0.6096096  0.9773455
 0.6106106  0.9772337
 0.6116116  0.9771215
 0.6126126  0.9770090
 0.6136136  0.9768961
 0.6146146  0.9767829
 0.6156156  0.9766692
 0.6166166  0.9765552
 0.6176176  0.9764409
 0.6186186  0.9763261
 0.6196196  0.9762110
 0.6206206  0.9760956
 0.6216216  0.9759797
 0.6226226  0.9758635
 0.6236236  0.9757469
 0.6246246  0.9756299
 0.6256256  0.9755125
 0.6266266  0.9753948
 0.6276276  0.9752767
 0.6286286  0.9751582
 0.6296296  0.9750394
 0.6306306  0.9749201
 0.6316316  0.9748005
 0.6326326  0.9746805
 0.6336336  0.9745601
 0.6346346  0.9744394
 0.6356356  0.9743182
 0.6366366  0.9741967
 0.6376376  0.9740748
 0.6386386  0.9739525
 0.6396396  0.9738299
 0.6406406  0.9737068
 0.6416416  0.9735834
 0.6426426  0.9734595
 0.6436436  0.9733353
 0.6446446  0.9732107
 0.6456456  0.9730857
 0.6466466  0.9729603
 0.6476476  0.9728346
 0.6486486  0.9727084
 0.6496496  0.9725819
 0.6506507  0.9724549
 0.6516517  0.9723276
 0.6526527  0.9721999
 0.6536537  0.9720718
 0.6546547  0.9719433
 0.6556557  0.9718144
 0.6566567  0.9716851
 0.6576577  0.9715554
 0.6586587  0.9714253
 0.6596597  0.9712949
 0.6606607  0.9711640
 0.6616617  0.9710327
 0.6626627  0.9709010
 0.6636637  0.9707690
 0.6646647  0.9706365
 0.6656657  0.9705036
 0.6666667  0.9703704
 0.6676677  0.9702367
 0.6686687  0.9701026
 0.6696697  0.9699682
 0.6706707  0.9698333
 0.6716717  0.9696980
 0.6726727  0.9695623
 0.6736737  0.9694262
 0.6746747  0.9692898
 0.6756757  0.9691529
 0.6766767  0.9690156
 0.6776777  0.9688779
 0.6786787  0.9687397
 0.6796797  0.9686012
 0.6806807  0.9684623
 0.6816817  0.9683229
 0.6826827  0.9681832
 0.6836837  0.9680430
 0.6846847  0.9679025
 0.6856857  0.9677615
 0.6866867  0.9676201
 0.6876877  0.9674783
 0.6886887  0.9673360
 0.6896897  0.9671934
 0.6906907  0.9670503
 0.6916917  0.9669069
 0.6926927  0.9667630
 0.6936937  0.9666187
 0.6946947  0.9664740
 0.6956957  0.9663289
 0.6966967  0.9661833
 0.6976977  0.9660373
 0.6986987  0.9658909
 0.6996997  0.9657441
 0.7007007  0.9655969
 0.7017017  0.9654492
 0.7027027  0.9653012
 0.7037037  0.9651527
 0.7047047  0.9650037
 0.7057057  0.9648544
 0.7067067  0.9647046
 0.7077077  0.9645544
 0.7087087  0.9644038
 0.7097097  0.9642528
 0.7107107  0.9641013
 0.7117117  0.9639494
 0.7127127  0.9637971
 0.7137137  0.9636443
 0.7147147  0.9634911
 0.7157157  0.9633375
 0.7167167  0.9631835
 0.7177177  0.9630290
 0.7187187  0.9628741
 0.7197197  0.9627188
 0.7207207  0.9625630
 0.7217217  0.9624068
 0.7227227  0.9622502
 0.7237237  0.9620931
 0.7247247  0.9619356
 0.7257257  0.9617776
 0.7267267  0.9616193
 0.7277277  0.9614604
 0.7287287  0.9613012
 0.7297297  0.9611415
 0.7307307  0.9609814
